--gold.txt-------ltp.txt----1
﻿1							      |	﻿
							      >	某某
如实								如实
供述								供述
犯罪								犯罪
行为，且						      |	行为
							      >	，
							      >	且
积极								积极
对								对
被害							      |	被害人
人							      <
张某甲								张某甲
的								的
家属								家属
进行								进行
民事								民事
赔偿								赔偿
，故							      |	，
							      >	故
可								可
酌情								酌情
从轻								从轻
处罚								处罚
。、被告						      |	。
人							      |	、
张某某							      |	被告人
辩护							      |	张
人							      |	某某
							      >	辩护人
的								的
辩护								辩护
观点								观点
正确								正确
，本院							      |	，
							      >	本院
予以								予以
采纳								采纳
。为							      |	。
							      >	为
维护								维护
交通								交通
管理								管理
秩序								秩序
，保护							      |	，
							      >	保护
人民								人民
群众								群众
的								的
生命								生命
财产								财产
安全								安全
不								不
受								受
侵害								侵害
，经							      |	，
合议							      |	经合
庭							      |	议庭
评议，依照						      |	评议
							      >	，
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、七十二						      |	、
							      >	七十二
条								条
第一								第一
款								款
、七十三						      |	、
							      >	七十三
条								条
第二								第二
款、第三款						      |	款
							      >	、
							      >	第三
							      >	款
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
张某某							      |	张
							      >	某某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期徒刑							有期徒刑
二年							      |	二
，缓刑							      |	年
三年（							      |	，
							      >	缓刑
							      >	三
							      >	年
							      >	（
缓刑								缓刑
考验								考验
期限								期限
从								从
判决								判决
确定								确定
之								之
日								日
起								起
计算								计算
）。							      |	）
							      >	。
INSERTIONS:	34
DELETIONS:	3
SUBSTITUTIONS:	46
NCHANGE:	83
NTRUTH:	137
NTEST:	168
TRUE WORDS RECALL:	0.642
TEST WORDS PRECISION:	0.524
--gold.txt-------ltp.txt----3
3								3
:								:
本院								本院
认为								认为
，被告人						      |	，
							      >	被告人
李骥博								李骥博
违反								违反
道路								道路
交通								交通
运输								运输
管理								管理
法规								法规
，驾驶							      |	，
							      >	驾驶
机动								机动
车辆								车辆
致								致
一人							      |	一
							      >	人
死亡								死亡
的								的
事故								事故
发生								发生
，且							      |	，
							      >	且
负								负
事故								事故
的								的
主要								主要
责任								责任
，其							      |	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。、公诉						      |	。
							      >	、
							      >	公诉
机关								机关
指控								指控
犯罪								犯罪
成立								成立
，予以							      |	，
							      >	予以
支持								支持
。、李骥博						      |	。
案发							      |	、
							      >	李骥博案
							      >	发
后								后
明知								明知
他人								他人
报警								报警
，并							      |	，
							      >	并
在								在
现场								现场
等候								等候
，无							      |	，
							      >	无
抗拒								抗拒
抓捕								抓捕
行为								行为
，到案							      |	，
							      >	到
							      >	案
后								后
如实								如实
交待								交待
犯罪								犯罪
事实								事实
，系							      |	，
							      >	系
自首								自首
，可							      |	，
从轻处罚						      |	可
。、李骥博						      |	从轻
							      >	处罚
							      >	。
							      >	、
							      >	李骥博
在								在
案发								案发
后								后
主动								主动
赔偿								赔偿
被害							      |	被害人
人							      |	近
近亲属							      |	亲属
全部								全部
经济								经济
损失								损失
，并							      |	，
							      >	并
取得								取得
被害人								被害人
近亲属							      |	近
							      >	亲属
谅解								谅解
，可							      |	，
							      >	可
酌予								酌予
从轻								从轻
处罚								处罚
。、根据						      |	。
							      >	、
							      >	根据
社会								社会
调查								调查
，李骥博						      |	，
							      >	李骥博
此次								此次
犯罪							      |	犯罪系
系							      <
初犯								初犯
，对							      |	，
							      >	对
其								其
判处								判处
缓刑								缓刑
，在							      |	，
							      >	在
其								其
居住								居住
的								的
宜阳县								宜阳县
三乡							      |	三乡乡
乡流渠村						      |	流渠村
不会							      |	不
							      >	会
产生								产生
重大								重大
不良								不良
影响								影响
，其							      |	，
							      >	其
所								所
居住								居住
的								的
三乡							      |	三乡乡
乡流渠村						      |	流渠村
村民								村民
委员会								委员会
愿意								愿意
协助								协助
司法								司法
机关								机关
对								对
其								其
进行								进行
社区								社区
矫正								矫正
，故							      |	，
							      >	故
可								可
对								对
其								其
适用								适用
缓刑								缓刑
。根据							      |	。
							      >	根据
本案								本案
的								的
事实								事实
、情节							      |	、
							      >	情节
以及								以及
社会								社会
危害								危害
程度								程度
，依照							      |	，
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、第							      |	、
六十七							      |	第六十七
条								条
、第							      |	、
七十二							      |	第七十二
条								条
、第							      |	、
七十三							      |	第七十三
条								条
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
李骥博								李骥博
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      <
十								十
个								个
月								月
，宣告							      |	，
							      >	宣告
缓刑								缓刑
一年							      |	一
							      >	年
。								。
、缓刑							      |	、
							      >	缓刑
考验								考验
期限								期限
，从							      |	，
判决确定						      |	从
							      >	判决
							      >	确定
之								之
日								日
起								起
开始								开始
计算								计算
。								。
INSERTIONS:	40
DELETIONS:	4
SUBSTITUTIONS:	57
NCHANGE:	101
NTRUTH:	192
NTEST:	228
TRUE WORDS RECALL:	0.682
TEST WORDS PRECISION:	0.575
--gold.txt-------ltp.txt----4
4								4
:								:
本院								本院
认为								认为
，被告人						      |	，
							      >	被告人
贾玉全								贾玉全
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，发生							      |	，
							      >	发生
交通								交通
事故								事故
，致							      |	，
							      >	致
人								人
死亡，其						      |	死亡
							      >	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事							      |	肇事罪
罪							      |	，
，公诉							      |	公诉
机关								机关
指控								指控
罪名								罪名
成立								成立
，予以							      |	，
							      >	予以
支持								支持
。、附带						      |	。
							      >	、
							      >	附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
由于								由于
被告							      |	被告人
人							      <
的								的
犯罪								犯罪
行为								行为
所								所
遭受								遭受
的								的
经济								经济
损失								损失
，被告							      |	，
人							      |	被告人
应								应
承担								承担
相应								相应
的								的
民事								民事
赔偿								赔偿
责任								责任
。、对							      |	。
							      >	、
							      >	对
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
的								的
诉讼								诉讼
请求								请求
，符合							      |	，
							      >	符合
法律								法律
赔偿								赔偿
范围								范围
的								的
，应							      |	，
							      >	应
依法								依法
予以								予以
支持								支持
。、对							      |	。
被告							      |	、
人							      |	对
辩护							      |	被告人
人							      |	辩护人
提出								提出
的								的
被告							      |	被告人
人							      <
自愿								自愿
认罪								认罪
、系							      |	、
							      >	系
初犯								初犯
的								的
辩护								辩护
意见								意见
，与							      |	，
							      >	与
本案								本案
查明								查明
事实								事实
相符								相符
，予以							      |	，
							      >	予以
采纳								采纳
。、鉴于						      |	。
被告							      |	、
人							      |	鉴于
							      >	被告人
庭审								庭审
中								中
认罪								认罪
，可							      |	，
							      >	可
酌情								酌情
从轻								从轻
处罚								处罚
。依照							      |	。
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、第							      |	、
三十六							      |	第三十六
条								条
第							      |	第一
一							      <
款								款
、《							      |	、
中华人民共和国民法通则					      |	《
》第							      |	中华人民共和国
一百							      |	民法
一十							      |	通则
九							      |	》
							      >	第一百一十九
条								条
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、一							      <
、								、
被告							      |	一
人							      |	、
							      >	被告人
贾玉全								贾玉全
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期徒刑							有期徒刑
一年							      |	一
							      >	年
零								零
二								二
个								个
月								月
。、（							      |	。
							      >	、
							      >	（
刑期								刑期
从								从
判决								判决
执行								执行
之								之
日								日
起								起
计算								计算
，刑期							      |	，
							      >	刑期
执行								执行
以前								以前
先							      |	先行
行							      <
羁押								羁押
的								的
，羁押							      |	，
一日							      |	羁押
							      >	一
							      >	日
折								折
抵								抵
刑期								刑期
一日								一日
，即							      |	，
							      >	即
自								自
2013年								2013年
7月								7月
24日								24日
起								起
至								至
2014年								2014年
9月								9月
8日								8日
止								止
）、二							      |	）
、被告							      |	、
人							      |	二
							      >	、
							      >	被告人
贾玉全								贾玉全
赔偿								赔偿
附带								附带
民事								民事
诉讼								诉讼
原告							      |	原告人
人							      <
经济								经济
损失								损失
共							      |	共计
计							      <
人民币								人民币
182649.62							182649.62
元								元
。、（							      |	。
							      >	、
							      >	（
此								此
款								款
于								于
本								本
判决								判决
生效								生效
之								之
日								日
起								起
三十								三十
日								日
内								内
付清								付清
）								）
INSERTIONS:	33
DELETIONS:	11
SUBSTITUTIONS:	61
NCHANGE:	105
NTRUTH:	213
NTEST:	235
TRUE WORDS RECALL:	0.662
TEST WORDS PRECISION:	0.600
--gold.txt-------ltp.txt----5
5								5
:								:
本院								本院
认为								认为
，被告							      |	，
人							      |	被告人
张某某							      |	张
							      >	某某
违反								违反
道路								道路
交通								交通
运输								运输
管理								管理
法规								法规
，因							      |	，
而							      |	因而
发生								发生
重大								重大
事故								事故
，致							      |	，
一人							      |	致
							      >	一
							      >	人
死亡								死亡
，并							      |	，
							      >	并
负								负
事故								事故
的								的
全部								全部
责任								责任
，其							      |	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。、公诉						      |	。
							      >	、
							      >	公诉
机关								机关
指控								指控
的								的
罪名								罪名
成立								成立
。、							      |	。
被告							      |	、
人							      |	被告人
张某某							      |	张
							      >	某某
系								系
自首								自首
，								，
对								对
其								其
依法								依法
从轻								从轻
处罚								处罚
；被告							      |	；
人							      |	被告人
张某某							      |	张
							      >	某某
有								有
认罪								认罪
、悔罪							      |	、
							      >	悔罪
表现								表现
，事发							      |	，
							      >	事发
后								后
对								对
被害							      |	被害人
人							      <
家属								家属
进行								进行
了								了
赔偿								赔偿
，并							      |	，
							      >	并
得到								得到
了								了
谅解								谅解
，								，
对								对
其								其
酌情								酌情
从轻								从轻
处罚								处罚
并								并
适用								适用
缓刑								缓刑
，本院							      |	，
							      >	本院
采纳								采纳
辩护							      |	辩护人
人							      <
所								所
提								提
相关								相关
从轻								从轻
处罚								处罚
意见								意见
。综							      |	。综上
上，根据						      |	，
							      >	根据
被告人								被告人
张某某							      |	张
							      >	某某
犯罪								犯罪
的								的
事实								事实
、性质							      |	、
、情节							      |	性质
							      >	、
							      >	情节
和								和
对							      |	对于
于							      <
社会								社会
的								的
危害								危害
程度								程度
等								等
，依照							      |	，
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、第							      |	、
六十七							      |	第六十七
条								条
第一								第一
款								款
、第							      |	、
七十二							      |	第七十二
条								条
第一								第一
款								款
、第							      |	、
七十三							      |	第七十三
条								条
第二								第二
款								款
、第三							      |	、
							      >	第三
款								款
的								的
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
张某某							      |	张
							      >	某某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      |	一
一年							      |	年
，缓刑							      |	，
一年							      |	缓刑
。、（							      |	一
							      >	年
							      >	。
							      >	、
							      >	（
缓刑								缓刑
考验								考验
期限，							      |	期限
							      >	，
从								从
判决								判决
确定								确定
之								之
日								日
起								起
计算								计算
。、被告						      |	。
人							      |	、
张某某							      |	被告人
回							      |	张
到							      |	某某
							      >	回到
社区								社区
里								里
，应							      |	，
当							      |	应当
遵守								遵守
法律								法律
、								、
法规								法规
，								，
服从								服从
监督								监督
管理								管理
，接受							      |	，
							      >	接受
教育								教育
，完成							      |	，
							      >	完成
公益								公益
劳动								劳动
，做							      |	，
一名							      |	做
							      >	一
							      >	名
有益								有益
社会								社会
的								的
公民								公民
。								。
INSERTIONS:	32
DELETIONS:	5
SUBSTITUTIONS:	64
NCHANGE:	101
NTRUTH:	191
NTEST:	218
TRUE WORDS RECALL:	0.639
TEST WORDS PRECISION:	0.560
--gold.txt-------ltp.txt----6
6:							      |	6
							      >	:
本院								本院
认为								认为
，被告							      |	，
人							      |	被告人
马某								马某
违反								违反
道路								道路
交通								交通
安全							      |	安全法
法							      <
的								的
规定								规定
，驾车							      |	，
							      >	驾车
超速								超速
行驶								行驶
，因							      |	，
而							      |	因而
发生								发生
重大								重大
交通								交通
事故								事故
，致							      |	，
一人							      |	致
死亡，其						      |	一
							      >	人
							      >	死亡
							      >	，
							      >	其
行为								行为
已								已
构成								构成
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
规定								规定
的								的
交通								交通
肇事								肇事
罪								罪
。、西安						      |	。
市							      |	、
灞桥							      |	西安市
区							      |	灞桥区
人民								人民
检察							      |	检察院
院							      <
指控								指控
被告							      |	被告人
人							      <
所								所
犯							      |	犯罪
罪名							      |	名
成立								成立
，对							      |	，
被告							      |	对
人							      |	被告人
应								应
依法								依法
惩处								惩处
。、鉴于						      |	。
被告							      |	、
人							      |	鉴于
							      >	被告人
事发								事发
后								后
能够								能够
及时								及时
报警								报警
并								并
留在							      |	留
							      >	在
现场								现场
等候								等候
处理								处理
，								，
如实								如实
供述								供述
犯罪								犯罪
事实								事实
，属							      |	，
自首，							      |	属
							      >	自首
							      >	，
且								且
能够								能够
认罪								认罪
，积极							      |	，
							      >	积极
赔偿								赔偿
损失								损失
，有							      |	，
							      >	有
悔罪								悔罪
表现								表现
，已							      |	，
							      >	已
取得								取得
了								了
被害							      |	被害人
人							      <
亲属								亲属
的								的
谅解								谅解
，依法							      |	，
							      >	依法
应								应
从轻								从轻
处罚								处罚
并								并
适用								适用
缓刑。依照						      |	缓刑
							      >	。
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
、第							      |	、
六十七							      |	第六十七
条								条
第一								第一
款								款
、第							      |	、
七十二							      |	第七十二
条								条
及								及
第							      |	第七十六
七十六							      <
条								条
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
马某								马某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      |	一
一年							      |	年
，缓刑							      |	，
一年							      |	缓刑
，实行							      |	一
							      >	年
							      >	，
							      >	实行
社区								社区
矫正								矫正
。、（缓刑						      |	。
							      >	、
							      >	（
							      >	缓刑
考验								考验
期							      |	期自
自							      <
判决								判决
确定								确定
之								之
日								日
起								起
计算								计算
。								。
INSERTIONS:	25
DELETIONS:	10
SUBSTITUTIONS:	56
NCHANGE:	91
NTRUTH:	155
NTEST:	170
TRUE WORDS RECALL:	0.574
TEST WORDS PRECISION:	0.524
--gold.txt-------ltp.txt----7
7:							      |	7
							      >	:
本院								本院
认为								认为
，被告							      |	，
人							      |	被告人
吴某某							      |	吴
							      >	某某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，驾驶							      |	，
							      >	驾驶
车辆								车辆
发生								发生
致								致
1人							      |	1
							      >	人
重伤								重伤
的								的
重大								重大
交通								交通
事故								事故
，负							      |	，
							      >	负
事故								事故
的								的
全部								全部
责任								责任
，且							      |	，
							      >	且
在								在
肇事								肇事
后								后
逃逸								逃逸
，其							      |	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。、福建						      |	。
省莆田							      |	、
市							      |	福建省
							      >	莆田市
荔城区								荔城区
人民								人民
检察院								检察院
指控								指控
被告							      |	被告人
人							      |	吴
吴某某							      |	某某
犯								犯
交通								交通
肇事罪								肇事罪
成立								成立
。								。
、关于							      |	、
被告							      |	关于
人							      |	被告人
吴某某							      |	吴
							      >	某某
提出								提出
”其							      |	”
							      >	其
不								不
知道								知道
撞								撞
到								到
人								人
，也							      |	，
							      >	也
不								不
知道								知道
撞								撞
到								到
锥筒								锥筒
”的							      |	”
							      >	的
辩解								辩解
意见								意见
及							      |	及其
其							      |	辩护人
辩护							      |	”
人							      |	被告人
”被告							      |	吴
人							      |	某某
吴某某							      <
是								是
在								在
不								不
知道								知道
发生								发生
肇事								肇事
行为								行为
的								的
情况								情况
下								下
驾车								驾车
离开								离开
现场								现场
，并非							      |	，
							      >	并非
出于								出于
逃避								逃避
法律								法律
责任								责任
而								而
逃离								逃离
现场								现场
，依法							      |	，
不能							      |	依法
							      >	不
							      >	能
认定								认定
其								其
构成								构成
交通								交通
肇事							      |	肇事罪
罪							      |	，
，应							      |	应
依法								依法
认定								认定
被告							      |	被告人
人							      <
无罪								无罪
”								”
的								的
辩护								辩护
意见								意见
。、公诉						      |	。
							      >	、
							      >	公诉
机关								机关
认为								认为
，被告							      |	，
人							      |	被告人
吴某某							      |	吴
							      >	某某
在								在
意识								意识
到								到
发生								发生
交通								交通
事故								事故
后								后
没有								没有
下车								下车
查看								查看
，								，
为								为
逃避								逃避
法律								法律
制裁								制裁
而								而
逃离								逃离
现场								现场
，应							      |	，
							      >	应
认定								认定
为								为
逃逸，故						      |	逃逸
被告							      |	，
人							      |	故
吴某某							      |	被告人
							      >	吴
							      >	某某
的								的
行为								行为
构成								构成
交通								交通
肇事罪							      |	肇事
							      >	罪
。								。
、经							      |	、
查，被告						      |	经查
人							      |	，
吴某某							      |	被告人
							      >	吴
							      >	某某
在								在
侦查								侦查
阶段								阶段
已								已
供述								供述
:其							      |	:
							      >	其
驾车								驾车
肇事								肇事
时								时
已								已
感知								感知
车身							      |	车身一颠
一颠							      <
的								的
情况								情况
，在							      |	，
							      >	在
驿坂								驿坂
服务							      |	服务区
区							      <
时								时
，其							      |	，
							      >	其
停车								停车
查看								查看
业							      |	业已
已							      <
发现								发现
货车								货车
右								右
前轮								前轮
的								的
挡泥板								挡泥板
毁坏								毁坏
，已经							      |	，
							      >	已经
意识								意识
到								到
发生								发生
交通								交通
事故								事故
。、福建						      |	。
							      >	、
							      >	福建
中安								中安
司法								司法
鉴定所								鉴定所
鉴定								鉴定
意见书								意见书
，证明							      |	，
							      >	证明
从								从
车辆								车辆
技术								技术
角度								角度
讲								讲
，货车							      |	，
							      >	货车
驾驶员								驾驶员
在								在
事故								事故
现场								现场
时								时
可以								可以
通过								通过
后视镜								后视镜
观测								观测
到								到
被								被
其								其
碰撞								碰撞
倒地							      |	倒
							      >	地
的								的
李某甲								李某甲
的								的
。、被告						      |	。
人							      |	、
吴某某							      |	被告人
庭							      |	吴
前							      |	某某
							      >	庭前
供述								供述
一致								一致
，庭审							      |	，
							      >	庭审
中								中
翻供								翻供
，但							      |	，
							      >	但
翻供								翻供
理由								理由
与								与
全案								全案
证据								证据
相							      |	相矛盾
矛盾							      |	，
，而							      |	而
庭								庭
前								前
供述								供述
与								与
其他								其他
证据								证据
能够								能够
相互								相互
印证								印证
的								的
，应							      |	，
采信							      |	应
被告							      |	采
人							      |	信
							      >	被告人
庭前								庭前
供述								供述
。、同时						      |	。
，被告							      |	、
人							      |	同时
吴某某							      |	，
							      >	被告人
							      >	吴
							      >	某某
作为								作为
专业								专业
司机								司机
在								在
肇事								肇事
时								时
有								有
报案								报案
条件								条件
和								和
可能								可能
而								而
未								未
予								予
报案								报案
继续								继续
驾车								驾车
逃离								逃离
，当							      |	，
庭							      |	当庭
又								又
翻供								翻供
辩解							      |	辩解案
案发							      |	发
当时								当时
其								其
不								不
知道								知道
驾车								驾车
撞								撞
到								到
锥筒								锥筒
，也							      |	，
							      >	也
不								不
知道								知道
撞								撞
到								到
被害							      |	被害人
人							      |	。
。、故							      |	、
被告							      |	故被告人
人							      |	吴
吴某某							      |	某某
交通								交通
肇事								肇事
后								后
在								在
不								不
存在								存在
现实								现实
加害								加害
的								的
急迫								急迫
情形								情形
下								下
没有								没有
履行								履行
立即								立即
停车								停车
查看								查看
、迅速							      |	、
							      >	迅速
报警								报警
等								等
义务								义务
，而							      |	，
是							      |	而是
为								为
逃避								逃避
法律								法律
追究								追究
逃离								逃离
事故								事故
现场								现场
。								。
、故							      |	、
被告							      |	故被告人
人							      |	吴
吴某某							      |	某某
及							      |	及其
其							      |	辩护人
辩护							      <
人							      <
上述								上述
辩护								辩护
意见								意见
，不							      |	，
							      >	不
予以								予以
采纳								采纳
。据							      |	。
此							      |	据此
，依照							      |	，
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第							      |	第一百三十三
一百							      <
三十三							      <
条								条
及								及
最高								最高
人民								人民
法院								法院
《								《
关于								关于
审理								审理
交通								交通
肇事								肇事
刑事								刑事
案件								案件
具体								具体
应用								应用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》								》
第二								第二
条								条
第一								第一
款								款
的								的
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
吴某某							      |	吴
							      >	某某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期							      |	有期徒刑
徒刑							      |	一
一年							      |	年
。								。
、（							      |	、
							      >	（
刑期								刑期
从								从
判决								判决
执行								执行
之								之
日								日
起								起
计算								计算
。								。
、								、
判决								判决
执行								执行
以前								以前
先行								先行
羁押								羁押
的								的
，羁押							      |	，
一日							      |	羁押
折抵							      |	一
							      >	日
							      >	折
							      >	抵
刑期								刑期
一日								一日
，即							      |	，
							      >	即
自								自
二○一五年							二○一五年
七月								七月
二十日								二十日
起								起
至								至
二○一六年						      |	二○一
							      >	六
							      >	年
七月								七月
十九日								十九日
止								止
。								。
INSERTIONS:	54
DELETIONS:	9
SUBSTITUTIONS:	120
NCHANGE:	183
NTRUTH:	439
NTEST:	484
TRUE WORDS RECALL:	0.706
TEST WORDS PRECISION:	0.640
--gold.txt-------ltp.txt----8
8:							      |	8
							      >	:
本院								本院
认为								认为
，被告							      |	，
人							      |	被告人
肖某								肖某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，驾驶							      |	，
							      >	驾驶
机动								机动
车辆								车辆
发生								发生
重大								重大
交通								交通
事故								事故
，致							      |	，
一人							      |	致
							      >	一
							      >	人
死亡								死亡
，且							      |	，
							      >	且
负								负
事故								事故
主要								主要
责任								责任
，其							      |	，
							      >	其
行为								行为
已								已
构成								构成
交通								交通
肇事								肇事
罪								罪
。、公诉						      |	。
							      >	、
							      >	公诉
机关								机关
指控								指控
被告							      |	被告人
人							      <
肖某								肖某
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      <
的								的
罪名								罪名
成立								成立
，对							      |	，
被告							      |	对
人							      |	被告人
肖某								肖某
应								应
处								处
三年							      |	三
							      >	年
以下								以下
有期徒刑							有期徒刑
或者								或者
拘役								拘役
。、被告						      |	。
人							      |	、
							      >	被告人
肖某								肖某
于								于
案发							      |	案
							      >	发
后								后
主动								主动
报案								报案
，积极							      |	，
							      >	积极
抢救								抢救
被害							      |	被害人
人							      |	，
，且							      |	且
归案								归案
后								后
如实								如实
供述								供述
了								了
自己								自己
的								的
犯罪								犯罪
行为								行为
，系							      |	，
							      >	系
自首								自首
，依法							      |	，
							      >	依法
可								可
从轻								从轻
处罚								处罚
。								。
、								、
肇事								肇事
车辆								车辆
所有								所有
人								人
李某								李某
已								已
赔偿								赔偿
被害							      |	被害人
人							      <
